Name,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Colour,Seats,No. of Doors,New_Price,Price
Mahindra Scorpio,Pune,2012.0,99000.0,Diesel,Manual,Third,12.05 kmpl,2179 CC,120 bhp,Black/Silver,8.0,5.0,,6.0
Maruti Baleno,Kochi,2018.0,18678.0,Petrol,Manual,First,21.1 kmpl,998 CC,100 bhp,Others,5.0,4.0,,8.32
Mahindra Xylo,Bangalore,2013.0,197000.0,Diesel,Manual,First,11.68 kmpl,2498 CC,112 bhp,White,7.0,5.0,,4.0
Hyundai Grand,Delhi,2014.0,45000.0,Diesel,Manual,First,24.0 kmpl,1120 CC,70 bhp,White,5.0,4.0,,3.49
Toyota Innova,Delhi,2011.0,65000.0,Diesel,Manual,First,12.8 kmpl,2494 CC,102 bhp,Others,8.0,5.0,,6.4
Honda WRV,Kochi,2018.0,15135.0,Petrol,Manual,First,17.5 kmpl,1199 CC,88.7 bhp,White,5.0,4.0,10.57 Lakh,9.29
Hyundai Verna,Bangalore,2016.0,79000.0,Diesel,Manual,First,24.8 kmpl,1396 CC,88.7 bhp,White,5.0,4.0,,7.25
Toyota Fortuner,Pune,2015.0,36000.0,Diesel,Automatic,First,12.55 kmpl,2982 CC,168.5 bhp,White,7.0,5.0,,22.0
Toyota Innova,Hyderabad,2009.0,156056.0,Diesel,Manual,First,12.8 kmpl,2494 CC,102 bhp,Others,8.0,5.0,,8.5
Chevrolet Beat,Hyderabad,2012.0,61250.0,Diesel,Manual,First,25.44 kmpl,936 CC,57.6 bhp,Others,5.0,4.0,,2.7
Toyota Innova,Hyderabad,2007.0,199000.0,Diesel,Manual,Second,12.8 kmpl,2494 CC,102 bhp,Others,7.0,4.0,,5.2
Audi A6,Ahmedabad,2008.0,41000.0,Petrol,Automatic,Second,10.4 kmpl,2773 CC,201 bhp,White,5.0,4.0,,10.5
Hyundai i20,Delhi,2017.0,17431.0,Petrol,Manual,First,18.6 kmpl,1197 CC,81.83 bhp,Black/Silver,5.0,4.0,,6.0
Skoda Laura,Mumbai,2009.0,48000.0,Diesel,Automatic,Second,17.0 kmpl,1896 CC,105 bhp,White,5.0,4.0,,2.95
Honda City,Mumbai,2015.0,10400.0,Petrol,Manual,First,17.4 kmpl,1497 CC,117.3 bhp,Black/Silver,5.0,4.0,,6.51
Maruti Baleno,Delhi,2017.0,33000.0,Diesel,Manual,First,27.39 kmpl,1248 CC,74 bhp,Black/Silver,5.0,4.0,,6.96
Audi Q7,Pune,2009.0,94000.0,Diesel,Automatic,Second,12.07 kmpl,2967 CC,241.4 bhp,White,7.0,5.0,,12.0
Renault Duster,Bangalore,2014.0,70000.0,Diesel,Manual,First,19.01 kmpl,1461 CC,108.45 bhp,Black/Silver,5.0,4.0,,8.25
Maruti Ertiga,Chennai,2012.0,40000.0,Diesel,Manual,First,20.77 kmpl,1248 CC,88.8 bhp,Others,7.0,5.0,,7.0
Land Rover Freelander,Hyderabad,2012.0,139000.0,Diesel,Automatic,First,0.0 kmpl,2179 CC,115 bhp,Black/Silver,5.0,4.0,,16.75
